INECode,IdescatCode,Municipality,brand,province,x,y,beds,beds_by_apartment,Population,Income_Household,Income_Person,Perc_Foreing,Perc_Older65,Rental2020,Rental2019,Rental2018,Rental2017,Rental2016,Rental2015,rental_incr,Perc_TuristicHouseholds_INE,TuristicHousehold,SUP_MUNI,ORSUP_MUNI,airbnb,total_homesCat2011,DataHippo_numAirbnb_10m,perc_AirbnbOk
8263,082634,Sant Vicenç dels Horts,Costa Barcelona,Barcelona,390177.696598509,4607134.55870509,32.00,2.91,28268.00,33297.00,11827.00,11.17,16.00,682.34,682.41,674.47,646.72,584.53,565.35,20.69,0.09,11.00,"9,12",B,10,9869,12,0.12
8244,082444,Santa Coloma de Cervelló,Costa Barcelona,Barcelona,413404.725317151,4583907.52998644,11.00,2.75,8268.00,42140.00,14308.00,6.80,12.00,767.50,853.61,773.74,705.55,691.72,631.12,21.61,0.13,4.00,"7,49",B,7,2738,7,0.26
8248,082482,Santa Eulàlia de Ronçana,Costa Barcelona,Barcelona,425018.239676472,4618748.07306441,87.00,6.69,7426.00,37517.00,13219.00,7.19,17.20,817.38,776.26,757.16,707.73,649.00,636.15,28.49,0.41,13.00,"14,23",B,17,2437,29,1.19
8249,082495,Santa Fe del Penedès,Costa Barcelona,Barcelona,378564.182239188,4595521.04434576,0.00,,367.00,40104.00,13151.00,9.81,15.40,,,,,,,NA,0,0.00,"3,4",B,0,,0,NA
8251,082515,Santa Margarida i els Monjos,Costa Barcelona,Barcelona,384370.939418849,4572294.01562712,0.00,,7676.00,31233.00,11276.00,16.62,13.90,500.28,450.31,430.22,452.84,407.10,399.10,25.35,0,0.00,"17,16",B,1,2651,1,0.04
8256,082567,Santa Maria de Martorelles,Costa Barcelona,Barcelona,425018.239676472,4607134.55870509,0.00,,890.00,37909.00,13429.00,4.27,13.80,,673.33,581.25,565.63,522.14,577.14,16.67,0,0.00,"4,48",B,0,,0,NA
8259,082592,Santa Maria de Palautordera,Costa Barcelona,Barcelona,442438.511215454,4624554.83024407,119.00,7.93,9630.00,34642.00,12744.00,12.12,16.30,619.81,585.39,586.40,575.52,520.19,473.55,30.89,0.36,15.00,"16,93",B,34,3376,52,1.54
8260,082606,Santa Perpètua de Mogoda,Costa Barcelona,Barcelona,413404.725317151,4612941.31588475,19.00,3.17,25999.00,34531.00,12276.00,13.04,14.60,651.78,643.99,629.02,596.36,523.53,489.18,33.24,0.06,6.00,"15,79",B,12,9255,12,0.13
8261,082613,Santa Susanna,Costa Barcelona,Barcelona,477279.054293417,4612941.31588475,916.00,6.94,3548.00,34313.00,12576.00,18.80,16.60,714.02,778.57,748.15,708.00,567.46,602.24,18.56,6.67,132.00,"12,61",B,172,1225,347,28.33
8267,082671,Sentmenat,Costa Barcelona,Barcelona,413404.725317151,4618748.07306441,48.00,9.60,9235.00,35570.00,12849.00,08.05,14.20,598.05,577.91,544.11,501.22,511.16,440.46,35.78,0.14,5.00,"28,8",B,3,3247,17,0.52
8270,082704,Sitges,Costa Barcelona,Barcelona,401791.21095783,4566487.25844746,6.906.00,05.03,29553.00,39373.00,16143.00,29.25,17.90,1003.52,1021.48,983.74,955.37,847.11,756.66,32.62,7.17,1374.00,"43,89",B,1795,12240,2464,20.13
